Name,article_status,article_snippet
"SS Yongala Wreck",Completed,"
## SS Yongala Wreck: Queensland's Iconic Shipwreck Dive for Advanced Adventurers

**SS Yongala Wrec"
"Muiron Island",Completed,"
## Muiron Island: Exmouth's Coral Paradise for Beginner Explorers

**Muiron Island: Exmouth's Coral"
"Hat Head Bommie",Completed,"
## Hat Head Bommie: A Submerged Citadel for Intermediate Explorers

**Hat Head Bommie: A Submerged "
"Black Rock – Forster",Completed,"
## Black Rock – Forster: Forster's Deep Ledges and Strong Currents for Advanced Divers

**Black Roc"
"HMAS Brisbane",Completed,"
## HMAS Brisbane: Queensland's Premier Shipwreck Dive for All Levels

**HMAS Brisbane: Queensland's"
"Arno Bay Jetty",Completed,"
## Arno Bay Jetty: Eyre Peninsula's Sheltered Macro Playground for Beginners

**Arno Bay Jetty: Eyr"
"Aldinga Drop-off",Completed,"
## Aldinga Drop-off: Fleurieu Peninsula's Dramatic Underwater Cliff for Advanced Explorers

**Aldin"
"American River Wharf",Completed,
"Ningaloo Reef",Completed,
"Exmouth Navy Jetty",Completed,
"Fish Rock Cave",Completed,
"Montague Island",skipped,
"Julian Rocks – Cod Hole",Draft,
"Oak Park",skipped,
"Blue Holes",skipped,
"Orford Reef Giant Kelp Forest",skipped,
"Black Point Jetty",skipped,
"Chowder Bay",skipped,
"Poor Knights Islands",skipped,
"Darwin Harbour Wrecks",skipped,
"Lord Howe Island",Draft,
"Terrigal Haven",skipped,
"Skillion Caves",skipped,
"Freshwater Reef",Draft,
"Weebubbie Cave",Completed,"Weebubbie Cave: A Labyrinth of Limestone in the Nullarbor's Depths

Weebubbie Cave, nestled deep ben"
"Terrigal HMAS Adelaide (Currently Closed)",skipped,
"North Bondi Bommie",Completed,"North Bondi Bommie: Sydney's Underwater Gem

Nestled just off the iconic shores of Bondi Beach, Nort"
"The Colours",Completed,
"Long Reef Wall",skipped,
"Henderson's Rock",Completed,"Henderson's Rock: A Sanctuary for Sharks in Queensland's Depths

Henderson's Rock, a renowned dive s"
"Smith Rock",Completed,"Smith Rock: Queensland's Formidable Underwater Landmark

Smith Rock, situated off Moreton Island in "
"Kingscote Jetty",Completed,"Kingscote Jetty: An Accessible Underwater Wonderland on Kangaroo Island

Kingscote Jetty, nestled on"
"Port Hughes Barge Wreck",Completed,"Port Hughes Barge Wreck: A Sunken Gem of the Yorke Peninsula

Off the tranquil coast of the Yorke Pe"
Voodoo,skipped,
"Whyalla Jetty",Completed,"Whyalla Jetty: Witnessing the Cuttlefish Spectacle

Whyalla Jetty, located in the Spencer Gulf of So"
"Shelly Beach",skipped,
"Cape Banks Caverns",skipped,
"Bare Island",skipped,
"Wedge Island Caves",,
"Hardwicke Bay Jetty",,
"Corny Point Lagoon",Completed,
"Fairy Bower",,
"South Bondi Reef",skipped,
"Neptune Islands (Shark Cage)",,
"North Bondi Rocks",,
"Yena Gap",,
"Wigton Reef",,
"Round Top Island",,
"Bare Island Deep Wall",skipped,
"Green Island – South West Rocks",,
"Latitude Rock",,
"Bluefish Point",skipped,
"Mullaway Reef",,
"Woody Head Reef",,
"Wedding Cake Island",,
"Manta Bommie",,
"Bushrangers Bay",skipped,
"Cod Hole",skipped,
"Fish Rock Cave",Completed,
"Magic Point",skipped,
"Rapid Bay Jetty",,
