ID,Name,Latitude,Longitude,Water Temperature,Skill Level,Depth Range,Description,Visibility,Best Time,Region,Marine Life,Hazards,Facilities,Image URL,Featured,Created At,Viz Slug,Compass Bearing,Nearby Runoff,Viz Triggers,Viz Seasonal
2,"SS Yongala Wreck",-19.31670000,147.61670000,"22-28°C","Advanced","14-30m","One of the worlds best wreck dives, the SS Yongala sank in 1911 and is now an artificial reef teeming with marine life. The 109-meter vessel attracts massive schools of fish and pelagic species.","10-25m","April-November","Great Barrier Reef - Townsville","Bull sharks, eagle rays, sea snakes, giant grouper, trevally, barracuda","Strong currents, penetration hazards, marine life encounters","Day boat access, advanced certification required",https://greatbarrierreeftours.com/files/2023/10/ss-yongala.png,false,2025-06-07T04:16:54.315Z,,,,,
245,"Muiron Island",-21.82390000,114.16190000,"23-27","Beginner","10-19","Beautiful coral gardens and diverse marine life around Muiron Islands, featuring excellent visibility and abundant fish species. Perfect for intermediate divers looking to explore pristine reef systems.","5–15m","May-September","Exmouth","Manta rays, whale sharks, tropical fish, coral trout, reef sharks","Strong currents, remote location","Boat access only, no shore facilities",https://www.diveningaloo.com.au/wp-content/uploads/2018/07/murion3-1024x504.jpg,true,2025-06-18T11:03:48.675Z,,,,,
212,"Hat Head Bommie",-31.05340000,153.07040000,"18–24 °C","Intermediate","8–16 m","Isolated reef outcrop with ledges and pelagics.","10–14 m","Spring–Summer","Hat Head, NSW","Moray eels, cod, turtles","Surge, exposed","Boat access",https://images.unsplash.com/photo-1583212292454-1fe6229603b7?ixlib=rb-4.0.3&auto=format&fit=crop&w=800&h=600,false,2025-06-07T12:05:23.222Z,,,,,
187,"Black Rock – Forster",-32.19720000,152.62430000,"18–24 °C","Advanced","15–28 m","Rocky outcrop with strong currents and deep ledges.","15–20 m","Spring–Autumn","Forster, NSW","Kingfish, sharks, morwong","Current","Boat access only",https://www.forsterdivecentre.com.au/images/sharks2web.jpg,false,2025-06-07T12:04:29.032Z,,,,,
8,"HMAS Brisbane",-26.62580000,153.14940000,"19–26°C","Intermediate","5–28m","Well-prepared wreck with easy access, great for all diver levels.","10–20m","May–October","Sunshine Coast, QLD","Groupers, turtles, rays, schooling fish","Mild currents, deep sections","Boat access",https://diveinaustralia.com.au/wp-content/uploads/2020/02/Shipwreck.jpg,false,2025-06-07T04:34:45.927Z,,,,,
133,"Arno Bay Jetty",-33.91660000,136.58630000,"14–21 °C","Beginner","2–6 m","Sheltered jetty good for training and macro life.","4–6 m","October–March","Eyre Peninsula, SA","Crabs, octopus, shrimp","Low visibility","Jetty access, carpark",https://snorkelspots.com/wp-content/uploads/2024/08/Edithburg-Jetty.jpg,false,2025-06-07T11:47:22.543Z,,,,,
94,"Aldinga Drop-off",-35.26240000,138.43030000,"15–21 °C","Advanced","10–21 m","Sheer underwater cliff with ledges, overhangs, and caves.","10–18 m","Spring–Autumn","Fleurieu Peninsula, SA","Blue devils, crayfish, cuttlefish","Strong surge, current","Boat dive only",https://robertrath.com/serendipity/uploads/land_photos/1824-_MG_8445-Edit.jpg,false,2025-06-07T11:40:31.360Z,,,,,
114,"American River Wharf",-35.77750000,137.74800000,"14–20 °C","Beginner","2–6 m","Easy estuarine dive with macro life and grassy bottom.","3–5 m","Summer","Kangaroo Island, SA","Pipefish, crabs, shrimp","Silt, low viz","Wharf access, parking",https://magazine.northeast.aaa.com/wp-content/uploads/2019/05/rccl-scuba-1.jpg?w=640,false,2025-06-07T11:44:05.291Z,,,,,
5,"Ningaloo Reef",-23.15000000,113.78330000,"22-26°C","Beginner","3-30m","Western Australias fringing coral reef offering easy shore access and pristine coral gardens. Famous for whale shark encounters and manta ray cleaning stations.","20-50m","March-August for whale sharks","Exmouth, WA","Whale sharks, manta rays, reef sharks, turtles, coral trout","Strong shore surge, seasonal marine life","Shore diving, multiple operators",https://www.everythingaustralia.com/resources/cache/958x510/1/sections/Ningaloo-Reef-whale-sharks.jpg,false,2025-06-07T04:16:54.315Z,,,,,
38,"Exmouth Navy Jetty",-21.83700000,114.14900000,"22–26°C","Beginner","4–10m","Concrete jetty home to juvenile fish, octopus and nudibranchs.","8–15m","March–November","Exmouth, WA","Nudibranchs, blennies, squid","Silt, surge","Shore access",https://assets.australiascoralcoast.com/products/63d2ad845f36d8b35911adc06499a430.jpeg?auto=compress&crop=focalpoint&fit=crop&fm=webp&fp-x=0.5&fp-y=0.5&h=960&q=80&w=1920,false,2025-06-07T08:01:14.673Z,,,,,
