Site ID,Site Name,Region,Skill Level,Has Article,Article Title,Article Slug,Article Published,Article URL
92,Glenelg Dredge Wreck,"Adelaide, SA",Advanced,Yes,,,,
93,Noarlunga Tyre Reef,"Adelaide, SA",Intermediate,Yes,,,,
91,North Haven Wall,"Adelaide, SA",Intermediate,Yes,,,,
78,Port Noarlunga Reef,"Adelaide, SA",Beginner,Yes,,,,
182,North West Solitary Island,"Arrawarra, NSW",Intermediate,Yes,,,,
189,Spot X Reef,"Arrawarra, NSW",Intermediate,Yes,,,,
46,Mount Hypipamee Crater,"Atherton Tablelands, QLD",Advanced,Yes,,,,
200,North Ballina Wall,"Ballina, NSW",Advanced,Yes,,,,
67,North Bondi Bommie,"Bondi, NSW",Intermediate,Yes,,,,
24,North Bondi Rocks,"Bondi, NSW",Beginner,Yes,,,,
198,Kings Beach – Broken Head,"Broken Head, NSW",Beginner,Yes,,,,
3,Julian Rocks,"Byron Bay, NSW",Beginner,Yes,,,,
240,Julian Rocks Marine Sanctuary,"Byron Bay, NSW",All Levels,Yes,,,,
166,Julian Rocks – Cod Hole,"Byron Bay, NSW",Intermediate,Yes,,,,
197,Julian Rocks – Hugo's Trench,"Byron Bay, NSW",Intermediate,Yes,,,,
165,Julian Rocks – The Nursery,"Byron Bay, NSW",Beginner,No,,,,
49,Clovelly,"Clovelly, NSW",Beginner,No,,,,
48,Shark Point,"Clovelly, NSW",Advanced,No,,,,
177,Muttonbird Island,"Coffs Harbour, NSW",Beginner,No,,,,
178,Split Solitary Island,"Coffs Harbour, NSW",Intermediate,No,,,,
175,The Looking Glass – South Solitary Island,"Coffs Harbour, NSW",Intermediate,No,,,,
58,Gordon's Bay,"Coogee, NSW",Beginner,No,,,,
71,Wedding Cake Island,"Coogee, NSW",Intermediate,No,,,,
7,Osprey Reef,"Coral Sea, QLD",Advanced,No,,,,
219,Dolphin Reef – Crescent Head,"Crescent Head, NSW",Intermediate,No,,,,
214,Racecourse Reef – Crescent Head,"Crescent Head, NSW",Intermediate,No,,,,
30,HMAS Swan Wreck,"Dunsborough, WA",Advanced,No,,,,
253,Lighthouse Bay,"Exmouth, WA",Intermediate,No,,,,
254,Turquoise Bay,"Exmouth, WA",Intermediate,No,,,,
123,Fishery Bay Reef,"Eyre Peninsula, SA",Intermediate,No,,,,
142,Neptune Islands (Shark Cage),"Eyre Peninsula, SA",Advanced,No,,,,
120,Point Drummond,"Eyre Peninsula, SA",Advanced,No,,,,
99,Port Lincoln Jetty,"Eyre Peninsula, SA",Beginner,No,,,,
117,Port Neill Jetty,"Eyre Peninsula, SA",Beginner,No,,,,
106,Streaky Bay Jetty,"Eyre Peninsula, SA",Beginner,No,,,,
139,Nuyts Archipelago Drop-off,Far West SA,Advanced,No,,,,
195,Fingal Head Reef,"Fingal Head, NSW",Intermediate,No,,,,
77,Rapid Bay Jetty,"Fleurieu Peninsula, SA",All Levels,No,,,,
82,Second Valley,"Fleurieu Peninsula, SA",Intermediate,No,,,,
84,Stony Point,"Fleurieu Peninsula, SA",All Levels,No,,,,
188,Latitude Rock,"Forster, NSW",Intermediate,No,,,,
242,Fraser Island,"Fraser Coast, QLD",All Levels,No,,,,
56,Freshwater Reef,"Freshwater, NSW",Intermediate,No,,,,
60,The Apartments,"Freshwater, NSW",Intermediate,No,,,,
232,Gold Coast Seaway,"Gold Coast, QLD",All Levels,No,,,,
234,Kirra Reef,"Gold Coast, QLD",All Levels,No,,,,
233,Palm Beach Reef,"Gold Coast, QLD",All Levels,No,,,,
230,Scottish Prince Shipwreck,"Gold Coast, QLD",All Levels,No,,,,
103,Port Wakefield Wall,"Gulf St Vincent, SA",Advanced,No,,,,
